Wellhead Temp. (C),Wellhead Press (psi),MMCFD- gas,BOPD (barrel of oil produced per day),BWPD (barrel of water produced per day),BSW - basic solid and water (%),CO2 mol. (%) @ 25 C & 1 Atm.,Gas Grav.,CR-corrosion defect 
64.1,1287.87,9.66,1253.57,1826.84,31.24,2.5719,0.8805,0.0237
50.94,2240.19,6.72,647.65,5117.86,63.31,2.5736,0.7396,0.3453
64.92,1637.3,5.4,840.81,6472.76,21.32,3.0083,0.7993,0.2491
67.21,1340.54,10.36,1209.46,123.96,20.47,2.1917,0.8877,0.398
50.28,1848.25,7.53,1696.62,2042.42,59.32,3.4361,0.7471,0.3678
70.38,1634.02,3.14,1149.79,7793.76,73.53,1.6644,0.7202,0.2039
60.6,1046.89,10.75,1861.34,6913.02,0.23,2.2427,0.8558,0.2197
72.05,980.89,6.9,556.06,3302.86,41.75,1.1707,0.825,0.0359
45.2,1147.65,0.86,1337.99,9290.42,41.77,3.9136,0.7437,0.0839
70.6,1960.97,7.96,899.7,2602.65,36.78,2.5358,0.8216,0.133
64.35,2030.46,9.54,143.57,1236.37,54.31,3.11,0.9155,0.3452
56.63,2178.24,6.29,1152.8,8609.06,6.83,3.5037,0.8717,0.3287
63.13,499.27,3.96,1677.15,6693.85,81.42,1.4484,0.836,0.3364
61.88,1686.65,1.98,758.13,2265.73,27.34,4.0476,0.8167,0.0411
64.92,1637.3,5.4,840.81,6472.76,21.32,3.0083,0.7993,0.2491
69.97,601.76,13.58,1108.59,9291.77,29.86,3.9407,0.8603,0.1142
66.24,1510.37,3.79,289.57,966.75,15.27,0.8745,0.8885,0.1834
66.01,1914.51,1.49,565.07,463.15,5.5,1.0842,0.8348,0.0438
68.52,1157.1,0.69,388.77,2360.98,27.0,2.8411,0.8721,0.2829
67.21,382.08,10.12,338.47,5116.18,8.73,3.115,0.9187,0.1169
45.69,1674.08,3.42,1312.84,3476.96,23.08,3.8039,0.794,0.0022
54.76,1805.11,7.27,749.81,1056.15,80.99,3.352,0.8973,0.0036
58.28,2317.23,3.95,1785.6,2574.55,64.16,3.3954,0.921,0.2655
72.05,980.89,6.9,556.06,3302.86,41.75,1.1707,0.825,0.0359
65.62,1288.47,2.09,1719.14,1577.26,7.64,3.1566,0.8041,0.2189
52.78,1676.32,1.58,647.15,4290.88,42.98,3.9323,0.8216,0.3597
53.78,767.43,4.0,1417.94,6854.24,1.13,4.2181,0.7243,0.0031
59.85,1830.25,3.54,200.5,5435.63,12.81,1.8748,0.9319,0.12
59.42,2115.28,15.19,1069.42,6438.83,5.33,2.6318,0.9007,0.2778
41.26,2292.52,10.36,194.25,2874.33,66.83,2.9432,0.8684,0.2076
47.05,1034.58,3.37,994.79,7341.82,27.01,3.3973,0.7147,0.2616
67.4,1771.97,16.16,1233.2,2526.88,7.04,1.5625,0.8376,0.3377
73.06,977.02,10.17,1094.82,5639.4,58.5,2.0721,0.8352,0.3867
51.6,936.71,13.89,632.06,2956.61,24.38,4.1054,0.7903,0.2239
71.44,2087.03,10.39,1598.61,3018.3,50.52,3.7408,0.9068,0.2353
45.27,948.74,3.9,480.06,6251.32,23.71,4.1899,0.7915,0.3997
51.66,847.59,4.17,755.28,7585.06,23.04,3.7994,0.7152,0.2243
68.1,1000.12,10.65,928.1,6300.24,48.47,2.9994,0.8981,0.3664
60.03,1100.49,3.49,388.56,9186.01,46.83,4.1784,0.7743,0.0618
63.26,1854.1,11.16,1631.66,352.33,16.36,1.3106,0.8304,0.0086
66.66,539.36,8.88,1436.27,6842.1,81.3,1.7695,0.8436,0.266
58.05,1585.81,3.85,1807.13,1663.84,55.54,4.041,0.9017,0.2788
62.02,1867.97,2.2,674.91,1895.97,55.07,1.5399,0.8718,0.2628
67.21,1340.54,10.36,1209.46,123.96,20.47,2.1917,0.8877,0.398
62.15,907.53,6.55,1284.67,3368.75,46.7,1.8204,0.917,0.0515
47.05,1034.58,3.37,994.79,7341.82,27.01,3.3973,0.7147,0.2616
54.76,1805.11,7.27,749.81,1056.15,80.99,3.352,0.8973,0.0036
60.6,1046.89,10.75,1861.34,6913.02,0.23,2.2427,0.8558,0.2197
69.37,816.24,13.02,1607.37,8337.96,26.74,3.1904,0.843,0.3053
66.72,2305.97,14.9,211.59,2511.9,18.05,3.2229,0.8763,0.0836
56.81,2242.44,1.71,1470.6,5929.47,14.83,2.0084,0.7927,0.0031
65.04,1496.1,8.48,324.23,7665.46,75.68,1.6262,0.8288,0.2027
66.92,914.84,5.97,660.31,8187.7,75.61,2.3962,0.8151,0.0186
65.32,784.93,14.69,1009.34,7764.92,34.52,1.306,0.8758,0.3593
59.62,1056.34,16.83,1585.83,7017.74,2.26,3.1142,0.9283,0.0986
62.47,1216.41,1.59,324.92,8152.38,73.61,3.0376,0.797,0.2263
63.31,2123.06,3.02,1312.97,7691.87,65.61,3.1973,0.7565,0.0009
58.56,1719.63,13.42,2087.43,55.28,14.43,4.263,0.762,0.2187
65.59,2196.76,14.83,924.67,658.18,67.77,3.0498,0.8979,0.2688
60.03,1100.49,3.49,388.56,9186.01,46.83,4.1784,0.7743,0.0618
59.37,1841.74,9.26,1663.3,9042.61,9.34,1.5966,0.9034,0.3291
66.01,1914.51,1.49,565.07,463.15,5.5,1.0842,0.8348,0.0438
67.15,1667.86,16.52,1128.13,2523.74,75.02,0.7811,0.8528,0.0499
65.22,2086.47,2.58,1143.21,7797.39,49.31,3.5119,0.7355,0.1722
66.06,1629.16,14.35,1584.99,7228.51,11.83,1.1382,0.7461,0.1521
45.14,453.79,13.39,1670.8,2852.91,3.85,3.2667,0.7178,0.215
73.01,1256.75,4.31,299.34,4444.55,64.23,1.3651,0.8103,0.1449
62.02,1161.25,0.59,779.59,3257.15,26.33,2.0335,0.886,0.0386
47.25,1550.98,0.23,174.7,2602.78,76.2,3.6172,0.8723,0.2243
53.55,2300.61,16.9,1130.32,2997.89,34.22,4.1319,0.7111,0.2839
60.05,1985.6,5.89,632.01,6376.8,51.78,3.0959,0.8588,0.0568
73.06,977.02,10.17,1094.82,5639.4,58.5,2.0721,0.8352,0.3867
63.39,1718.45,16.26,1193.84,1568.24,49.53,1.6094,0.9163,0.0602
50.94,2240.19,6.72,647.65,5117.86,63.31,2.5736,0.7396,0.3453
41.29,1377.9,15.39,902.62,782.01,40.05,1.3085,0.7331,0.3544
71.64,940.18,11.49,1637.77,5559.94,78.9,2.6978,0.9102,0.1975
45.08,562.06,3.3,643.99,3392.51,80.41,2.7281,0.7621,0.3063
45.69,1674.08,3.42,1312.84,3476.96,23.08,3.8039,0.794,0.0022
41.26,2292.52,10.36,194.25,2874.33,66.83,2.9432,0.8684,0.2076
59.74,1930.84,16.96,1486.35,4202.83,3.7,2.3477,0.8946,0.1137
41.26,2292.52,10.36,194.25,2874.33,66.83,2.9432,0.8684,0.2076
48.39,1123.05,1.56,728.81,2622.99,82.53,4.1721,0.8719,0.2383
56.63,2178.24,6.29,1152.8,8609.06,6.83,3.5037,0.8717,0.3287
64.93,1397.75,5.04,1639.18,3132.28,23.56,2.0979,0.8144,0.396
73.39,858.7,1.06,527.73,5638.43,48.97,3.8779,0.8402,0.3851
66.88,1774.83,0.62,1334.92,1441.04,50.74,3.0227,0.7922,0.3178
66.89,1622.95,5.16,277.07,1195.06,89.22,3.4979,0.9002,0.2007
59.37,1841.74,9.26,1663.3,9042.61,9.34,1.5966,0.9034,0.3291
64.92,1637.3,5.4,840.81,6472.76,21.32,3.0083,0.7993,0.2491
49.18,2187.48,2.71,1038.49,3749.13,3.01,3.9599,0.8234,0.1234
67.97,1605.73,14.73,1052.67,4935.54,10.8,3.2064,0.8352,0.0123
54.82,1910.1,1.95,1500.42,4355.98,76.52,3.316,0.8349,0.0443
59.06,1504.21,4.11,1532.37,8120.79,20.49,2.2848,0.842,0.0294
51.82,2047.49,1.82,1397.45,479.31,67.74,2.2359,0.7408,0.3721
59.92,1928.88,14.77,668.39,1286.57,39.26,4.1734,0.9197,0.0077
59.05,2312.92,10.71,1819.62,2784.01,17.13,3.4216,0.8217,0.0465
47.46,2243.44,2.42,727.07,4184.95,37.04,2.5155,0.7695,0.0027
65.36,1548.2,1.76,2033.13,2794.33,54.28,1.2599,0.7266,0.1989
66.39,2249.31,0.91,130.92,2501.24,49.66,3.227,0.8311,0.2911
63.68,976.11,0.84,478.47,940.67,85.63,1.163,0.9165,0.023
49.98,598.49,2.88,572.68,3400.31,77.64,2.7159,0.7258,0.2746
60.87,1459.18,6.15,953.41,2655.54,11.47,4.2195,0.8612,0.0616
51.82,2047.49,1.82,1397.45,479.31,67.74,2.2359,0.7408,0.3721
72.1,396.73,16.19,1677.21,621.97,13.62,3.8906,0.9103,0.2276
66.72,1468.95,0.28,327.7,1160.36,67.22,3.3854,0.8859,0.2655
51.82,2047.49,1.82,1397.45,479.31,67.74,2.2359,0.7408,0.3721
45.12,1953.51,16.98,580.69,2197.55,66.33,3.0405,0.8419,0.3102
65.68,1462.8,2.78,539.19,1133.33,85.55,1.5126,0.8781,0.3281
71.23,1172.95,0.93,1305.15,1212.97,5.87,3.8647,0.8278,0.1814
73.06,977.02,10.17,1094.82,5639.4,58.5,2.0721,0.8352,0.3867
56.81,2242.44,1.71,1470.6,5929.47,14.83,2.0084,0.7927,0.0031
53.37,1743.41,1.97,1055.9,1596.67,80.97,2.0525,0.714,0.2549
59.54,1310.14,0.84,1782.04,4321.82,13.29,3.5047,0.8175,0.2909
62.9,1874.52,16.51,2082.66,675.4,10.5,3.021,0.8429,0.2937
72.1,396.73,16.19,1677.21,621.97,13.62,3.8906,0.9103,0.2276
68.71,508.17,10.62,1482.24,5147.53,87.63,3.1177,0.9197,0.3641
72.16,1888.91,13.19,1025.23,3410.71,39.87,2.4332,0.8615,0.3764
61.38,626.38,1.07,1481.64,8451.72,23.85,1.8926,0.8306,0.223
70.38,1634.02,3.14,1149.79,7793.76,73.53,1.6644,0.7202,0.2039
64.62,1974.29,14.47,2084.36,1776.2,61.06,1.8219,0.9004,0.3526
54.52,690.67,2.83,721.98,2919.52,50.15,4.1323,0.7598,0.0465
64.92,1637.3,5.4,840.81,6472.76,21.32,3.0083,0.7993,0.2491
50.92,2277.1,16.29,262.33,588.15,8.02,2.4742,0.7823,0.3333
58.56,1719.63,13.42,2087.43,55.28,14.43,4.263,0.762,0.2187
53.78,767.43,4.0,1417.94,6854.24,1.13,4.2181,0.7243,0.0031
67.21,1340.54,10.36,1209.46,123.96,20.47,2.1917,0.8877,0.398
59.06,1504.21,4.11,1532.37,8120.79,20.49,2.2848,0.842,0.0294
64.92,1637.3,5.4,840.81,6472.76,21.32,3.0083,0.7993,0.2491
64.11,1265.04,15.18,2012.18,1934.8,41.16,2.8399,0.9184,0.0274
42.21,1546.96,16.8,1171.37,5546.93,28.8,3.2012,0.7488,0.1727
59.05,2312.92,10.71,1819.62,2784.01,17.13,3.4216,0.8217,0.0465
50.64,1520.8,11.5,264.16,460.78,17.57,4.2585,0.8725,0.3369
50.99,2109.37,13.77,367.53,342.91,31.45,1.6719,0.7272,0.3054
65.92,762.98,6.99,810.38,1177.58,29.27,0.8938,0.9227,0.2845
60.6,1046.89,10.75,1861.34,6913.02,0.23,2.2427,0.8558,0.2197
45.7,1344.31,10.0,1341.75,3067.41,22.71,2.6811,0.7194,0.2124
66.06,1629.16,14.35,1584.99,7228.51,11.83,1.1382,0.7461,0.1521
71.71,1723.78,0.41,885.95,520.43,22.98,0.8413,0.776,0.0384
71.18,927.34,3.33,1386.49,6820.49,21.79,1.9065,0.7336,0.3081
71.08,1009.11,8.21,1964.79,8222.17,51.28,4.2409,0.9081,0.0472
50.91,1947.62,2.6,595.57,4577.01,57.86,2.9841,0.7867,0.2883
62.29,1168.0,11.65,260.16,8306.33,78.48,1.5651,0.8892,0.0391
62.29,1168.0,11.65,260.16,8306.33,78.48,1.5651,0.8892,0.0391
60.66,2200.0,12.06,240.5,3656.68,3.96,2.8043,0.9101,0.2825
67.9,932.0,2.71,639.49,1749.23,56.31,3.4639,0.9041,0.358
64.2,870.71,11.75,1596.52,1763.77,6.39,3.7048,0.8845,0.016
53.55,2300.61,16.9,1130.32,2997.89,34.22,4.1319,0.7111,0.2839
49.89,2021.2,12.8,816.97,4176.02,72.97,4.2546,0.7696,0.1046
51.01,1482.56,3.66,357.79,3904.64,74.19,2.9011,0.7892,0.2599
66.72,2305.97,14.9,211.59,2511.9,18.05,3.2229,0.8763,0.0836
42.21,1546.96,16.8,1171.37,5546.93,28.8,3.2012,0.7488,0.1727
58.19,1610.73,1.0,781.36,3089.37,72.44,3.4925,0.8203,0.3313
58.28,2317.23,3.95,1785.6,2574.55,64.16,3.3954,0.921,0.2655
64.28,1067.15,6.88,1370.42,7620.98,83.17,2.2258,0.9,0.1482
59.6,2170.54,4.87,1542.79,8850.68,21.41,2.4242,0.7939,0.3314
54.82,1910.1,1.95,1500.42,4355.98,76.52,3.316,0.8349,0.0443
64.93,1397.75,5.04,1639.18,3132.28,23.56,2.0979,0.8144,0.396
48.7,1298.57,16.91,1492.6,3155.0,41.9,4.2422,0.7561,0.2136
62.9,1874.52,16.51,2082.66,675.4,10.5,3.021,0.8429,0.2937
73.39,858.7,1.06,527.73,5638.43,48.97,3.8779,0.8402,0.3851
67.92,1296.16,11.19,131.05,7558.35,28.14,3.8961,0.8541,0.0881
72.74,545.58,13.56,1568.83,916.96,76.77,1.0722,0.8502,0.3019
72.05,2026.61,17.54,191.77,7185.59,32.67,3.341,0.8637,0.2384
54.88,2314.47,2.11,321.5,5282.61,17.68,2.7268,0.777,0.1675
59.6,2170.54,4.87,1542.79,8850.68,21.41,2.4242,0.7939,0.3314
56.02,2312.74,2.63,1981.11,1451.77,9.03,2.7956,0.8028,0.1081
52.66,1174.92,0.84,924.46,6157.33,57.61,4.0096,0.833,0.0553
45.2,1147.65,0.86,1337.99,9290.42,41.77,3.9136,0.7437,0.0839
45.12,1953.51,16.98,580.69,2197.55,66.33,3.0405,0.8419,0.3102
60.6,1046.89,10.75,1861.34,6913.02,0.23,2.2427,0.8558,0.2197
52.3,399.8,14.35,424.61,187.8,43.75,3.6907,0.7521,0.2342
43.22,670.72,4.12,413.98,3259.89,21.62,2.6736,0.731,0.3309
56.27,1613.28,4.99,392.29,8568.67,71.69,3.8541,0.721,0.386
62.13,616.54,3.01,634.56,3697.13,83.62,3.6765,0.9205,0.1152
59.91,2133.8,8.21,475.66,3007.55,49.98,1.5793,0.9241,0.0581
62.13,616.54,3.01,634.56,3697.13,83.62,3.6765,0.9205,0.1152
49.57,1723.08,14.77,1192.42,3474.09,3.93,3.1818,0.7636,0.1704
71.23,1172.95,0.93,1305.15,1212.97,5.87,3.8647,0.8278,0.1814
70.38,1634.02,3.14,1149.79,7793.76,73.53,1.6644,0.7202,0.2039
65.36,1548.2,1.76,2033.13,2794.33,54.28,1.2599,0.7266,0.1989
47.17,1599.25,12.28,990.58,1288.75,5.67,3.3752,0.8009,0.1568
64.28,1067.15,6.88,1370.42,7620.98,83.17,2.2258,0.9,0.1482
54.82,1910.1,1.95,1500.42,4355.98,76.52,3.316,0.8349,0.0443
54.88,2314.47,2.11,321.5,5282.61,17.68,2.7268,0.777,0.1675
66.72,1468.95,0.28,327.7,1160.36,67.22,3.3854,0.8859,0.2655
70.96,1119.63,10.11,1633.13,1953.96,17.79,3.8359,0.8404,0.0068
73.01,1256.75,4.31,299.34,4444.55,64.23,1.3651,0.8103,0.1449
67.95,941.06,8.64,1302.73,7533.88,31.62,1.6544,0.7874,0.3603
58.77,1181.98,1.89,1519.22,1835.72,66.35,4.2519,0.8735,0.3425
65.52,407.02,5.77,1951.34,1505.43,63.47,3.5419,0.8766,0.2704
71.08,1009.11,8.21,1964.79,8222.17,51.28,4.2409,0.9081,0.0472
45.08,562.06,3.3,643.99,3392.51,80.41,2.7281,0.7621,0.3063
71.33,1448.03,2.88,1484.29,231.0,46.82,3.6421,0.8217,0.0833
73.38,1912.11,13.68,1900.75,3009.75,75.55,1.6362,0.8358,0.0977
70.95,1584.06,10.49,371.71,595.58,76.0,4.0374,0.9311,0.0814
49.89,2021.2,12.8,816.97,4176.02,72.97,4.2546,0.7696,0.1046
41.29,1377.9,15.39,902.62,782.01,40.05,1.3085,0.7331,0.3544
52.86,1869.11,4.32,1452.12,40.61,62.4,2.5569,0.7465,0.3754
41.29,1377.9,15.39,902.62,782.01,40.05,1.3085,0.7331,0.3544
43.9,1140.67,7.66,1447.28,4732.79,1.01,3.7802,0.7475,0.2697
68.57,902.06,2.26,984.58,7329.98,56.02,2.3996,0.7747,0.2783
66.79,2229.49,16.19,379.95,3430.66,31.03,2.7921,0.8839,0.1479
61.11,2042.39,4.99,442.51,4551.56,88.32,2.431,0.8729,0.3803
59.77,1723.01,10.44,2038.31,120.68,72.9,1.767,0.8881,0.2616
68.53,1045.82,14.4,810.01,5990.46,31.82,3.2109,0.905,0.2543
64.92,1637.3,5.4,840.81,6472.76,21.32,3.0083,0.7993,0.2491
50.92,2277.1,16.29,262.33,588.15,8.02,2.4742,0.7823,0.3333
64.42,1993.15,5.14,292.3,3817.28,67.7,2.7553,0.8515,0.3464
66.52,1444.83,1.35,1356.54,8812.39,62.2,3.2985,0.7247,0.3672
50.91,1947.62,2.6,595.57,4577.01,57.86,2.9841,0.7867,0.2883
66.9,1537.04,11.81,1432.65,7300.19,16.33,2.0667,0.792,0.3899
59.91,2133.8,8.21,475.66,3007.55,49.98,1.5793,0.9241,0.0581
71.33,1448.03,2.88,1484.29,231.0,46.82,3.6421,0.8217,0.0833
62.79,1894.34,0.82,986.57,2986.18,33.42,1.1207,0.7819,0.0115
59.03,989.07,2.11,1468.69,8031.73,50.53,2.3224,0.891,0.0043
64.1,2177.19,7.77,631.53,380.88,17.5,2.1774,0.8633,0.1271
66.34,2015.57,10.02,1426.04,4271.01,52.83,1.9202,0.837,0.053
54.03,2286.86,1.5,967.96,4900.59,7.84,3.7564,0.8991,0.0027
72.05,980.89,6.9,556.06,3302.86,41.75,1.1707,0.825,0.0359
68.77,1739.43,14.26,1617.36,2367.53,18.58,2.2343,0.8146,0.1152
70.6,1960.97,7.96,899.7,2602.65,36.78,2.5358,0.8216,0.133
45.12,1953.51,16.98,580.69,2197.55,66.33,3.0405,0.8419,0.3102
71.23,1172.95,0.93,1305.15,1212.97,5.87,3.8647,0.8278,0.1814
42.22,1913.76,16.12,1213.19,1114.85,3.21,1.7775,0.7263,0.3267
70.66,1030.58,3.38,1746.19,3838.25,25.39,3.1029,0.7782,0.3008
53.55,2300.61,16.9,1130.32,2997.89,34.22,4.1319,0.7111,0.2839
55.51,1635.42,0.42,724.31,2371.9,66.82,3.6023,0.8231,0.3944
70.6,1960.97,7.96,899.7,2602.65,36.78,2.5358,0.8216,0.133
70.66,1030.58,3.38,1746.19,3838.25,25.39,3.1029,0.7782,0.3008
64.62,1974.29,14.47,2084.36,1776.2,61.06,1.8219,0.9004,0.3526
48.17,1836.49,15.16,300.05,3099.48,55.39,3.5601,0.8649,0.2749
71.74,866.52,15.86,842.7,6935.44,68.74,2.4168,0.9081,0.2178
61.11,2042.39,4.99,442.51,4551.56,88.32,2.431,0.8729,0.3803
72.05,2026.61,17.54,191.77,7185.59,32.67,3.341,0.8637,0.2384
62.08,1314.48,3.77,1851.74,7551.4,69.8,1.8533,0.8138,0.2215
62.79,1894.34,0.82,986.57,2986.18,33.42,1.1207,0.7819,0.0115
71.33,1448.03,2.88,1484.29,231.0,46.82,3.6421,0.8217,0.0833
64.72,1115.67,0.67,1163.79,1240.17,62.97,1.9784,0.8413,0.0973
58.76,2061.09,8.38,1403.69,2833.09,7.91,2.8727,0.9165,0.234
52.43,1320.05,12.89,830.54,6383.1,27.74,3.7864,0.7163,0.116
41.63,1277.14,10.37,275.56,6904.14,19.59,4.1772,0.8277,0.3672
61.92,2092.3,6.17,2086.64,9314.26,74.92,0.9643,0.8611,0.3444
61.34,2169.53,3.33,139.52,9248.56,20.77,0.7961,0.7378,0.0386
61.34,2169.53,3.33,139.52,9248.56,20.77,0.7961,0.7378,0.0386
55.51,1635.42,0.42,724.31,2371.9,66.82,3.6023,0.8231,0.3944
52.3,399.8,14.35,424.61,187.8,43.75,3.6907,0.7521,0.2342
65.32,784.93,14.69,1009.34,7764.92,34.52,1.306,0.8758,0.3593
64.42,1430.39,5.28,507.55,7125.08,0.75,3.5693,0.8106,0.2714
57.87,2296.62,4.21,137.03,2811.85,23.91,3.0893,0.7655,0.1062
59.69,1958.51,10.9,524.93,8549.41,17.41,3.3938,0.8347,0.1026
71.44,2087.03,10.39,1598.61,3018.3,50.52,3.7408,0.9068,0.2353
54.82,1910.1,1.95,1500.42,4355.98,76.52,3.316,0.8349,0.0443
50.94,2240.19,6.72,647.65,5117.86,63.31,2.5736,0.7396,0.3453
63.31,2123.06,3.02,1312.97,7691.87,65.61,3.1973,0.7565,0.0009
62.94,1379.82,11.16,698.72,6817.39,23.43,2.1398,0.9002,0.312
68.57,902.06,2.26,984.58,7329.98,56.02,2.3996,0.7747,0.2783
62.43,1927.39,10.84,1816.67,3027.68,8.54,1.6219,0.8028,0.1932
63.49,678.45,9.85,2034.2,2059.55,89.26,0.7368,0.8685,0.1123
57.74,1546.39,1.86,2012.85,7105.89,44.39,3.7768,0.7615,0.2627
66.06,1629.16,14.35,1584.99,7228.51,11.83,1.1382,0.7461,0.1521
58.39,1650.84,2.92,1117.68,1514.01,85.52,3.1766,0.7379,0.0461
59.06,1504.21,4.11,1532.37,8120.79,20.49,2.2848,0.842,0.0294
60.6,1046.89,10.75,1861.34,6913.02,0.23,2.2427,0.8558,0.2197
65.36,1548.2,1.76,2033.13,2794.33,54.28,1.2599,0.7266,0.1989
61.94,555.47,8.44,1600.76,7134.43,38.3,2.4181,0.9285,0.2297
66.01,1914.51,1.49,565.07,463.15,5.5,1.0842,0.8348,0.0438
64.1,1287.87,9.66,1253.57,1826.84,31.24,2.5719,0.8805,0.0237
49.57,1723.08,14.77,1192.42,3474.09,3.93,3.1818,0.7636,0.1704
70.38,1634.02,3.14,1149.79,7793.76,73.53,1.6644,0.7202,0.2039
56.81,2242.44,1.71,1470.6,5929.47,14.83,2.0084,0.7927,0.0031
56.81,2242.44,1.71,1470.6,5929.47,14.83,2.0084,0.7927,0.0031
59.62,1056.34,16.83,1585.83,7017.74,2.26,3.1142,0.9283,0.0986
68.26,568.19,4.67,1381.38,585.66,23.17,2.0838,0.8788,0.3882
66.9,1537.04,11.81,1432.65,7300.19,16.33,2.0667,0.792,0.3899
48.61,2288.13,15.0,1551.32,1227.3,69.33,3.4605,0.8137,0.0225
64.2,870.71,11.75,1596.52,1763.77,6.39,3.7048,0.8845,0.016
54.88,2314.47,2.11,321.5,5282.61,17.68,2.7268,0.777,0.1675
66.09,2104.48,13.24,581.49,3757.23,21.31,4.1116,0.8898,0.2161
51.01,1482.56,3.66,357.79,3904.64,74.19,2.9011,0.7892,0.2599
65.59,2196.76,14.83,924.67,658.18,67.77,3.0498,0.8979,0.2688
57.4,1796.2,5.5,1265.85,2465.96,51.03,4.004,0.8382,0.0095
62.13,616.54,3.01,634.56,3697.13,83.62,3.6765,0.9205,0.1152
66.24,1510.37,3.79,289.57,966.75,15.27,0.8745,0.8885,0.1834
56.81,2242.44,1.71,1470.6,5929.47,14.83,2.0084,0.7927,0.0031
72.47,395.05,12.17,871.88,8528.18,55.98,1.4794,0.7952,0.1801
43.9,1140.67,7.66,1447.28,4732.79,1.01,3.7802,0.7475,0.2697
70.1,652.4,11.76,338.44,2767.04,48.98,2.2199,0.9256,0.2614
50.68,1092.04,9.65,724.14,4238.78,34.4,4.2309,0.7856,0.3617
42.94,1255.35,15.74,378.23,9232.12,7.97,3.129,0.7619,0.1031
57.74,1546.39,1.86,2012.85,7105.89,44.39,3.7768,0.7615,0.2627
67.57,1604.28,9.24,1795.34,3022.33,16.49,2.847,0.8053,0.3583
53.7,2127.37,1.22,1611.25,7509.23,36.9,2.4693,0.736,0.0255
70.95,1584.06,10.49,371.71,595.58,76.0,4.0374,0.9311,0.0814
46.76,820.87,13.42,1153.26,4243.64,88.69,2.7607,0.7224,0.3795
60.6,1046.89,10.75,1861.34,6913.02,0.23,2.2427,0.8558,0.2197
60.6,1046.89,10.75,1861.34,6913.02,0.23,2.2427,0.8558,0.2197
52.57,2073.58,15.68,1418.45,831.72,0.21,3.3518,0.791,0.258
60.87,1459.18,6.15,953.41,2655.54,11.47,4.2195,0.8612,0.0616
62.68,1135.01,15.82,1852.27,6712.01,43.24,0.8533,0.9237,0.2361
58.56,1719.63,13.42,2087.43,55.28,14.43,4.263,0.762,0.2187
47.57,1665.22,9.01,1042.06,2502.49,71.5,2.8185,0.783,0.0624
44.92,1117.49,13.22,1003.04,454.09,62.37,1.4029,0.7365,0.1019
64.1,2177.19,7.77,631.53,380.88,17.5,2.1774,0.8633,0.1271
54.82,1910.1,1.95,1500.42,4355.98,76.52,3.316,0.8349,0.0443
72.74,545.58,13.56,1568.83,916.96,76.77,1.0722,0.8502,0.3019
65.62,1288.47,2.09,1719.14,1577.26,7.64,3.1566,0.8041,0.2189
73.66,1037.44,0.64,1201.83,4958.62,39.33,3.6512,0.778,0.0761
43.95,1879.46,10.52,517.26,567.07,16.05,2.003,0.7576,0.3743
42.03,1132.67,6.81,872.9,3158.02,22.23,3.2233,0.7806,0.0037
64.1,1287.87,9.66,1253.57,1826.84,31.24,2.5719,0.8805,0.0237
66.01,1914.51,1.49,565.07,463.15,5.5,1.0842,0.8348,0.0438
66.52,1444.83,1.35,1356.54,8812.39,62.2,3.2985,0.7247,0.3672
62.13,616.54,3.01,634.56,3697.13,83.62,3.6765,0.9205,0.1152
55.19,1641.6,5.11,1592.81,3196.83,82.86,3.9951,0.7304,0.0066
64.35,2030.46,9.54,143.57,1236.37,54.31,3.11,0.9155,0.3452
66.39,2249.31,0.91,130.92,2501.24,49.66,3.227,0.8311,0.2911
52.14,2040.67,13.07,1406.06,3173.87,3.21,2.9672,0.7311,0.2994
63.18,1882.19,6.87,1568.01,1387.85,78.0,4.2618,0.8995,0.3523
57.4,1796.2,5.5,1265.85,2465.96,51.03,4.004,0.8382,0.0095
46.73,712.55,0.75,626.41,7858.41,18.02,3.7482,0.7318,0.1887
62.88,479.15,5.87,1802.88,3167.28,3.16,0.6786,0.9136,0.1559
72.2,1690.42,13.4,1435.35,1376.26,51.78,0.7487,0.7928,0.1669
45.27,948.74,3.9,480.06,6251.32,23.71,4.1899,0.7915,0.3997
64.28,1067.15,6.88,1370.42,7620.98,83.17,2.2258,0.9,0.1482
62.02,1867.97,2.2,674.91,1895.97,55.07,1.5399,0.8718,0.2628
67.65,987.99,13.89,1106.11,2134.02,47.03,2.2749,0.9199,0.3775
60.03,1423.5,3.26,970.0,4949.4,16.88,4.1099,0.8723,0.3728
68.1,1000.12,10.65,928.1,6300.24,48.47,2.9994,0.8981,0.3664
71.53,929.44,16.99,2061.14,5568.5,27.43,1.782,0.8003,0.2754
59.92,1928.88,14.77,668.39,1286.57,39.26,4.1734,0.9197,0.0077
53.37,1743.41,1.97,1055.9,1596.67,80.97,2.0525,0.714,0.2549
67.92,1296.16,11.19,131.05,7558.35,28.14,3.8961,0.8541,0.0881
64.42,1430.39,5.28,507.55,7125.08,0.75,3.5693,0.8106,0.2714
71.44,2087.03,10.39,1598.61,3018.3,50.52,3.7408,0.9068,0.2353
49.55,1309.51,7.11,528.47,515.59,38.68,2.8746,0.7797,0.1632
51.66,847.59,4.17,755.28,7585.06,23.04,3.7994,0.7152,0.2243
67.54,699.02,6.44,170.41,4884.65,64.2,1.6333,0.8917,0.32
68.53,1045.82,14.4,810.01,5990.46,31.82,3.2109,0.905,0.2543
61.34,2169.53,3.33,139.52,9248.56,20.77,0.7961,0.7378,0.0386
